order_id,customer_id,customer_location,customer_region,product_sku,product_name,quantity,order_value,customer_tier,order_date,promised_delivery_date
ORD-1023,CUST-0023,Cagayan de Oro,Mindanao,SKU-MOUSE-008,Gaming Mouse,1,3761,Gold,2026-07-06,2026-07-10
ORD-1024,CUST-0024,Cebu City,Visayas,SKU-SPEAKER-011,Bluetooth Speaker,1,7731,Silver,2026-07-04,2026-07-05
ORD-1025,CUST-0025,Bacolod City,Visayas,SKU-SPEAKER-011,Bluetooth Speaker,1,7069,Gold,2026-07-01,2026-07-02
ORD-1026,CUST-0026,Batangas City,Luzon,SKU-ROUTER-010,WiFi Router,3,26133,Bronze,2026-07-05,2026-07-09
ORD-1027,CUST-0027,Zamboanga City,Mindanao,SKU-MOUSE-008,Gaming Mouse,1,3716,Bronze,2026-06-29,2026-07-03
ORD-1028,CUST-0028,Taguig City,Metro Manila,SKU-KEYBOARD-007,Mechanical Keyboard,1,6090,Gold,2026-07-06,2026-07-07
ORD-1029,CUST-0029,Taguig City,Metro Manila,SKU-MOUSE-008,Gaming Mouse,1,3730,Silver,2026-07-04,2026-07-09
ORD-1030,CUST-0030,Tagaytay,Luzon,SKU-KEYBOARD-007,Mechanical Keyboard,3,18817,Silver,2026-07-01,2026-07-04
ORD-1031,CUST-0031,Tacloban City,Visayas,SKU-HEADSET-004,Wireless Headset,3,13306,Silver,2026-07-06,2026-07-09
ORD-1032,CUST-0032,Pasig City,Metro Manila,SKU-SSD-012,External SSD,1,9412,Silver,2026-07-04,2026-07-08
ORD-1033,CUST-0033,Manila,Metro Manila,SKU-HEADSET-004,Wireless Headset,1,4513,Bronze,2026-07-02,2026-07-03
ORD-1034,CUST-0034,San Fernando,Luzon,SKU-MOUSE-008,Gaming Mouse,1,3675,Bronze,2026-07-05,2026-07-07
ORD-1035,CUST-0035,Quezon City,Metro Manila,SKU-ROUTER-010,WiFi Router,1,8505,Bronze,2026-07-04,2026-07-06
ORD-1036,CUST-0036,Baguio City,Luzon,SKU-PRINTER-009,Office Printer,2,33506,Silver,2026-07-02,2026-07-04
ORD-1037,CUST-0037,Batangas City,Luzon,SKU-LAPTOP-001,Laptop Pro 14,1,50844,Gold,2026-07-05,2026-07-08
ORD-1038,CUST-0038,Manila,Metro Manila,SKU-ROUTER-010,WiFi Router,1,8548,Platinum,2026-06-29,2026-06-30
ORD-1039,CUST-0039,Clark,Luzon,SKU-TABLET-003,Tablet Air,1,21865,Silver,2026-07-02,2026-07-04
ORD-1040,CUST-0040,Zamboanga City,Mindanao,SKU-MONITOR-005,27-inch Monitor,2,29323,Gold,2026-07-03,2026-07-07
ORD-1041,CUST-0041,San Fernando,Luzon,SKU-LAPTOP-001,Laptop Pro 14,5,248334,Silver,2026-06-30,2026-07-04
ORD-1042,CUST-0042,Quezon City,Metro Manila,SKU-HEADSET-004,Wireless Headset,1,4552,Bronze,2026-07-01,2026-07-03
ORD-1043,CUST-0043,Taguig City,Metro Manila,SKU-ROUTER-010,WiFi Router,4,33041,Silver,2026-07-03,2026-07-07
ORD-1044,CUST-0044,Taguig City,Metro Manila,SKU-TABLET-003,Tablet Air,4,90187,Bronze,2026-06-29,2026-07-04
ORD-1045,CUST-0045,Zamboanga City,Mindanao,SKU-KEYBOARD-007,Mechanical Keyboard,4,26050,Bronze,2026-07-02,2026-07-03
ORD-1046,CUST-0046,Taguig City,Metro Manila,SKU-ROUTER-010,WiFi Router,2,16302,Silver,2026-07-05,2026-07-08
ORD-1047,CUST-0047,Cagayan de Oro,Mindanao,SKU-LAPTOP-001,Laptop Pro 14,3,143580,Gold,2026-06-30,2026-07-02
ORD-1048,CUST-0048,Clark,Luzon,SKU-SSD-012,External SSD,1,10481,Bronze,2026-07-03,2026-07-06
ORD-1049,CUST-0049,Batangas City,Luzon,SKU-MOUSE-008,Gaming Mouse,1,3436,Gold,2026-07-03,2026-07-05
ORD-1050,CUST-0050,Pasig City,Metro Manila,SKU-MONITOR-005,27-inch Monitor,3,45103,Bronze,2026-07-06,2026-07-09
ORD-1051,CUST-0051,Cagayan de Oro,Mindanao,SKU-LAPTOP-001,Laptop Pro 14,1,50578,Silver,2026-07-06,2026-07-08
ORD-1052,CUST-0052,Cagayan de Oro,Mindanao,SKU-MONITOR-005,27-inch Monitor,3,44246,Gold,2026-07-03,2026-07-06
ORD-1053,CUST-0053,Iloilo City,Visayas,SKU-PHONE-002,Smartphone X,1,28951,Silver,2026-07-02,2026-07-05
ORD-1054,CUST-0054,Batangas City,Luzon,SKU-MOUSE-008,Gaming Mouse,2,6871,Bronze,2026-07-02,2026-07-04
ORD-1055,CUST-0055,General Santos,Mindanao,SKU-MOUSE-008,Gaming Mouse,2,7062,Silver,2026-07-04,2026-07-06
ORD-1056,CUST-0056,Davao City,Mindanao,SKU-MONITOR-005,27-inch Monitor,1,14785,Gold,2026-07-04,2026-07-05
ORD-1057,CUST-0057,Cebu City,Visayas,SKU-HEADSET-004,Wireless Headset,1,4762,Silver,2026-07-03,2026-07-08
ORD-1058,CUST-0058,Davao City,Mindanao,SKU-HEADSET-004,Wireless Headset,1,4844,Silver,2026-07-01,2026-07-03
ORD-1059,CUST-0059,San Fernando,Luzon,SKU-MONITOR-005,27-inch Monitor,2,27596,Bronze,2026-07-06,2026-07-07
ORD-1060,CUST-0060,Davao City,Mindanao,SKU-MOUSE-008,Gaming Mouse,1,3717,Silver,2026-06-29,2026-07-01
ORD-1061,CUST-0061,Taguig City,Metro Manila,SKU-PHONE-002,Smartphone X,1,29552,Bronze,2026-06-29,2026-06-30
ORD-1062,CUST-0062,Davao City,Mindanao,SKU-PHONE-002,Smartphone X,5,147391,Bronze,2026-07-05,2026-07-08
ORD-1063,CUST-0063,Bacolod City,Visayas,SKU-PRINTER-009,Office Printer,1,18337,Platinum,2026-07-03,2026-07-07
ORD-1064,CUST-0064,Davao City,Mindanao,SKU-ROUTER-010,WiFi Router,2,16609,Gold,2026-06-30,2026-07-05
ORD-1065,CUST-0065,Iloilo City,Visayas,SKU-MONITOR-005,27-inch Monitor,2,28140,Bronze,2026-07-01,2026-07-04
ORD-1066,CUST-0066,Baguio City,Luzon,SKU-MOUSE-008,Gaming Mouse,2,7293,Silver,2026-06-29,2026-07-01
ORD-1067,CUST-0067,Clark,Luzon,SKU-PHONE-002,Smartphone X,2,57164,Platinum,2026-07-02,2026-07-04
ORD-1068,CUST-0068,Manila,Metro Manila,SKU-MONITOR-005,27-inch Monitor,3,44689,Bronze,2026-07-01,2026-07-05
ORD-1069,CUST-0069,Davao City,Mindanao,SKU-MOUSE-008,Gaming Mouse,1,3552,Gold,2026-07-05,2026-07-10
ORD-1070,CUST-0070,Batangas City,Luzon,SKU-MOUSE-008,Gaming Mouse,1,3599,Bronze,2026-07-05,2026-07-08
ORD-1071,CUST-0071,Quezon City,Metro Manila,SKU-PHONE-002,Smartphone X,1,29047,Gold,2026-06-29,2026-07-04
ORD-1072,CUST-0072,Tacloban City,Visayas,SKU-ROUTER-010,WiFi Router,1,8563,Gold,2026-07-06,2026-07-09
ORD-1073,CUST-0073,Tacloban City,Visayas,SKU-TABLET-003,Tablet Air,5,111221,Silver,2026-07-06,2026-07-11
ORD-1074,CUST-0074,Baguio City,Luzon,SKU-CAMERA-006,Action Camera,1,40566,Bronze,2026-07-01,2026-07-03
ORD-1075,CUST-0075,Davao City,Mindanao,SKU-SPEAKER-011,Bluetooth Speaker,4,28537,Gold,2026-06-29,2026-07-01
ORD-1076,CUST-0076,Cagayan de Oro,Mindanao,SKU-PHONE-002,Smartphone X,5,142875,Silver,2026-06-29,2026-07-02
ORD-1077,CUST-0077,Baguio City,Luzon,SKU-LAPTOP-001,Laptop Pro 14,1,50342,Silver,2026-07-06,2026-07-09
ORD-1078,CUST-0078,Iloilo City,Visayas,SKU-MONITOR-005,27-inch Monitor,1,14688,Platinum,2026-07-06,2026-07-10
ORD-1079,CUST-0079,Quezon City,Metro Manila,SKU-SPEAKER-011,Bluetooth Speaker,2,13705,Bronze,2026-07-01,2026-07-03
ORD-1080,CUST-0080,Baguio City,Luzon,SKU-PHONE-002,Smartphone X,1,27027,Gold,2026-06-30,2026-07-02
ORD-1081,CUST-0081,Manila,Metro Manila,SKU-MOUSE-008,Gaming Mouse,4,14178,Silver,2026-07-03,2026-07-05
ORD-1082,CUST-0082,Batangas City,Luzon,SKU-HEADSET-004,Wireless Headset,1,4572,Bronze,2026-07-02,2026-07-07
ORD-1083,CUST-0083,Manila,Metro Manila,SKU-PHONE-002,Smartphone X,1,29467,Gold,2026-07-05,2026-07-07
ORD-1084,CUST-0084,Tacloban City,Visayas,SKU-LAPTOP-001,Laptop Pro 14,1,48386,Silver,2026-07-06,2026-07-10
ORD-1085,CUST-0085,Batangas City,Luzon,SKU-CAMERA-006,Action Camera,1,38681,Gold,2026-07-05,2026-07-07
ORD-1086,CUST-0086,Iloilo City,Visayas,SKU-SSD-012,External SSD,1,10258,Silver,2026-07-05,2026-07-06
ORD-1087,CUST-0087,Zamboanga City,Mindanao,SKU-KEYBOARD-007,Mechanical Keyboard,5,29599,Gold,2026-07-01,2026-07-03
ORD-1088,CUST-0088,Tagaytay,Luzon,SKU-ROUTER-010,WiFi Router,1,9081,Bronze,2026-07-06,2026-07-07
ORD-1089,CUST-0089,Quezon City,Metro Manila,SKU-SSD-012,External SSD,1,10305,Platinum,2026-07-01,2026-07-02
ORD-1090,CUST-0090,Tacloban City,Visayas,SKU-CAMERA-006,Action Camera,2,82742,Silver,2026-06-30,2026-07-04
ORD-1091,CUST-0091,San Fernando,Luzon,SKU-KEYBOARD-007,Mechanical Keyboard,4,23675,Gold,2026-07-06,2026-07-10
ORD-1092,CUST-0092,Pasig City,Metro Manila,SKU-HEADSET-004,Wireless Headset,2,9057,Platinum,2026-07-02,2026-07-05
ORD-1093,CUST-0093,Taguig City,Metro Manila,SKU-SPEAKER-011,Bluetooth Speaker,2,15371,Bronze,2026-07-01,2026-07-04
ORD-1094,CUST-0094,Makati City,Metro Manila,SKU-CAMERA-006,Action Camera,2,76576,Silver,2026-07-04,2026-07-06
ORD-1095,CUST-0095,Baguio City,Luzon,SKU-ROUTER-010,WiFi Router,2,18074,Bronze,2026-07-01,2026-07-02
ORD-1096,CUST-0096,Bacolod City,Visayas,SKU-MOUSE-008,Gaming Mouse,3,10602,Bronze,2026-07-06,2026-07-09
ORD-1097,CUST-0097,Quezon City,Metro Manila,SKU-MOUSE-008,Gaming Mouse,3,11265,Gold,2026-07-01,2026-07-02
ORD-1098,CUST-0098,Davao City,Mindanao,SKU-SPEAKER-011,Bluetooth Speaker,4,28105,Gold,2026-07-06,2026-07-10
ORD-1099,CUST-0099,Zamboanga City,Mindanao,SKU-MOUSE-008,Gaming Mouse,1,3776,Silver,2026-07-04,2026-07-07
ORD-1100,CUST-0100,Davao City,Mindanao,SKU-LAPTOP-001,Laptop Pro 14,5,254990,Gold,2026-07-03,2026-07-04
ORD-1101,CUST-0101,Makati City,Metro Manila,SKU-ROUTER-010,WiFi Router,2,16658,Gold,2026-07-03,2026-07-07
ORD-1102,CUST-0102,General Santos,Mindanao,SKU-HEADSET-004,Wireless Headset,2,9606,Gold,2026-07-01,2026-07-04
ORD-1103,CUST-0103,Makati City,Metro Manila,SKU-MONITOR-005,27-inch Monitor,2,27889,Bronze,2026-07-04,2026-07-07
ORD-1104,CUST-0104,Davao City,Mindanao,SKU-CAMERA-006,Action Camera,2,82987,Bronze,2026-07-01,2026-07-05
ORD-1105,CUST-0105,General Santos,Mindanao,SKU-PRINTER-009,Office Printer,1,17972,Silver,2026-07-01,2026-07-03
ORD-1106,CUST-0106,Batangas City,Luzon,SKU-MONITOR-005,27-inch Monitor,2,27833,Silver,2026-06-30,2026-07-02
ORD-1107,CUST-0107,Bacolod City,Visayas,SKU-SPEAKER-011,Bluetooth Speaker,2,14418,Platinum,2026-07-04,2026-07-05
ORD-1108,CUST-0108,Tacloban City,Visayas,SKU-PRINTER-009,Office Printer,1,17967,Silver,2026-07-03,2026-07-06
ORD-1109,CUST-0109,General Santos,Mindanao,SKU-PHONE-002,Smartphone X,2,54811,Silver,2026-07-04,2026-07-09
ORD-1110,CUST-0110,Pasig City,Metro Manila,SKU-SPEAKER-011,Bluetooth Speaker,3,20847,Platinum,2026-07-03,2026-07-06
ORD-1111,CUST-0111,Makati City,Metro Manila,SKU-LAPTOP-001,Laptop Pro 14,1,48954,Silver,2026-06-30,2026-07-02
ORD-1112,CUST-0112,Zamboanga City,Mindanao,SKU-MOUSE-008,Gaming Mouse,1,3655,Platinum,2026-07-05,2026-07-08
ORD-1113,CUST-0113,Baguio City,Luzon,SKU-SPEAKER-011,Bluetooth Speaker,1,7101,Silver,2026-07-05,2026-07-10
ORD-1114,CUST-0114,General Santos,Mindanao,SKU-HEADSET-004,Wireless Headset,1,4676,Platinum,2026-07-04,2026-07-05
ORD-1115,CUST-0115,San Fernando,Luzon,SKU-SPEAKER-011,Bluetooth Speaker,1,7728,Silver,2026-07-02,2026-07-07
ORD-1116,CUST-0116,Clark,Luzon,SKU-PHONE-002,Smartphone X,2,55627,Gold,2026-06-29,2026-06-30
ORD-1117,CUST-0117,Manila,Metro Manila,SKU-ROUTER-010,WiFi Router,1,8973,Gold,2026-07-02,2026-07-05
ORD-1118,CUST-0118,Bacolod City,Visayas,SKU-CAMERA-006,Action Camera,2,84078,Gold,2026-06-29,2026-07-01
ORD-1119,CUST-0119,Manila,Metro Manila,SKU-PRINTER-009,Office Printer,1,16941,Bronze,2026-06-29,2026-06-30
ORD-1120,CUST-0120,Bacolod City,Visayas,SKU-ROUTER-010,WiFi Router,1,8540,Bronze,2026-06-29,2026-06-30
ORD-1121,CUST-0121,Taguig City,Metro Manila,SKU-SSD-012,External SSD,1,9448,Silver,2026-07-04,2026-07-07
ORD-1122,CUST-0122,Tagaytay,Luzon,SKU-HEADSET-004,Wireless Headset,4,19355,Bronze,2026-07-03,2026-07-05
ORD-1123,CUST-0123,Makati City,Metro Manila,SKU-MOUSE-008,Gaming Mouse,3,11216,Silver,2026-06-30,2026-07-02
ORD-1124,CUST-0124,Pasig City,Metro Manila,SKU-PHONE-002,Smartphone X,1,28904,Bronze,2026-07-01,2026-07-03
ORD-1125,CUST-0125,San Fernando,Luzon,SKU-SSD-012,External SSD,1,10081,Platinum,2026-07-03,2026-07-05
ORD-1126,CUST-0126,Taguig City,Metro Manila,SKU-SSD-012,External SSD,1,10441,Gold,2026-07-02,2026-07-04
ORD-1127,CUST-0127,Baguio City,Luzon,SKU-CAMERA-006,Action Camera,3,115903,Silver,2026-06-30,2026-07-02
ORD-1128,CUST-0128,Tacloban City,Visayas,SKU-CAMERA-006,Action Camera,4,165068,Gold,2026-07-06,2026-07-07
ORD-1129,CUST-0129,Pasig City,Metro Manila,SKU-KEYBOARD-007,Mechanical Keyboard,1,6362,Gold,2026-07-01,2026-07-04
ORD-1130,CUST-0130,San Fernando,Luzon,SKU-PRINTER-009,Office Printer,1,18229,Bronze,2026-07-04,2026-07-08
ORD-1131,CUST-0131,Baguio City,Luzon,SKU-SSD-012,External SSD,1,10046,Silver,2026-07-03,2026-07-05
ORD-1132,CUST-0132,Iloilo City,Visayas,SKU-TABLET-003,Tablet Air,2,44981,Bronze,2026-06-30,2026-07-02
ORD-1133,CUST-0133,Taguig City,Metro Manila,SKU-MONITOR-005,27-inch Monitor,2,30030,Gold,2026-06-29,2026-07-02
ORD-1134,CUST-0134,Tacloban City,Visayas,SKU-LAPTOP-001,Laptop Pro 14,1,47790,Gold,2026-07-03,2026-07-08
ORD-1135,CUST-0135,Cebu City,Visayas,SKU-TABLET-003,Tablet Air,2,47358,Silver,2026-07-01,2026-07-04
ORD-1136,CUST-0136,Pasig City,Metro Manila,SKU-SSD-012,External SSD,1,9781,Silver,2026-07-06,2026-07-08
ORD-1137,CUST-0137,Cagayan de Oro,Mindanao,SKU-ROUTER-010,WiFi Router,2,17515,Platinum,2026-07-01,2026-07-02
ORD-1138,CUST-0138,Pasig City,Metro Manila,SKU-MONITOR-005,27-inch Monitor,1,14181,Silver,2026-07-06,2026-07-08
ORD-1139,CUST-0139,Tagaytay,Luzon,SKU-PHONE-002,Smartphone X,1,27722,Bronze,2026-07-06,2026-07-09
ORD-1140,CUST-0140,Bacolod City,Visayas,SKU-KEYBOARD-007,Mechanical Keyboard,5,30301,Bronze,2026-07-02,2026-07-04
ORD-1141,CUST-0141,Manila,Metro Manila,SKU-MONITOR-005,27-inch Monitor,1,14106,Bronze,2026-07-06,2026-07-09
ORD-1142,CUST-0142,Zamboanga City,Mindanao,SKU-PRINTER-009,Office Printer,2,36108,Silver,2026-07-04,2026-07-05
ORD-1143,CUST-0143,Makati City,Metro Manila,SKU-KEYBOARD-007,Mechanical Keyboard,1,6352,Platinum,2026-07-04,2026-07-07
ORD-1144,CUST-0144,Baguio City,Luzon,SKU-MONITOR-005,27-inch Monitor,1,15561,Bronze,2026-07-04,2026-07-05
ORD-1145,CUST-0145,Clark,Luzon,SKU-SSD-012,External SSD,3,30180,Bronze,2026-06-30,2026-07-02
ORD-1146,CUST-0146,Tagaytay,Luzon,SKU-PHONE-002,Smartphone X,1,29435,Silver,2026-07-04,2026-07-06
ORD-1147,CUST-0147,Pasig City,Metro Manila,SKU-PRINTER-009,Office Printer,2,33844,Silver,2026-07-02,2026-07-07
ORD-1148,CUST-0148,Manila,Metro Manila,SKU-HEADSET-004,Wireless Headset,1,4719,Silver,2026-07-01,2026-07-04
ORD-1149,CUST-0149,Pasig City,Metro Manila,SKU-TABLET-003,Tablet Air,4,92292,Gold,2026-07-06,2026-07-10
ORD-1150,CUST-0150,Clark,Luzon,SKU-SPEAKER-011,Bluetooth Speaker,4,29708,Silver,2026-07-04,2026-07-08
ORD-1151,CUST-0151,Manila,Metro Manila,SKU-MOUSE-008,Gaming Mouse,1,3594,Silver,2026-07-03,2026-07-07
ORD-1152,CUST-0152,General Santos,Mindanao,SKU-PRINTER-009,Office Printer,1,17988,Silver,2026-06-29,2026-06-30
ORD-1153,CUST-0153,Pasig City,Metro Manila,SKU-SPEAKER-011,Bluetooth Speaker,3,22076,Platinum,2026-07-05,2026-07-07
ORD-1154,CUST-0154,Makati City,Metro Manila,SKU-MOUSE-008,Gaming Mouse,3,10624,Silver,2026-07-02,2026-07-04
ORD-1155,CUST-0155,Manila,Metro Manila,SKU-LAPTOP-001,Laptop Pro 14,1,46126,Gold,2026-07-04,2026-07-09
ORD-1156,CUST-0156,Cebu City,Visayas,SKU-LAPTOP-001,Laptop Pro 14,1,49405,Silver,2026-07-06,2026-07-09
ORD-1157,CUST-0157,General Santos,Mindanao,SKU-CAMERA-006,Action Camera,3,111946,Silver,2026-07-04,2026-07-07
ORD-1158,CUST-0158,Cagayan de Oro,Mindanao,SKU-PHONE-002,Smartphone X,1,29234,Silver,2026-07-05,2026-07-07
ORD-1159,CUST-0159,Manila,Metro Manila,SKU-CAMERA-006,Action Camera,1,40376,Gold,2026-07-04,2026-07-06
ORD-1160,CUST-0160,Zamboanga City,Mindanao,SKU-TABLET-003,Tablet Air,2,45480,Platinum,2026-07-03,2026-07-06
ORD-1161,CUST-0161,Cagayan de Oro,Mindanao,SKU-TABLET-003,Tablet Air,2,44221,Gold,2026-06-30,2026-07-03
ORD-1162,CUST-0162,General Santos,Mindanao,SKU-LAPTOP-001,Laptop Pro 14,1,50380,Bronze,2026-07-02,2026-07-04
ORD-1163,CUST-0163,Iloilo City,Visayas,SKU-HEADSET-004,Wireless Headset,5,21670,Bronze,2026-07-03,2026-07-07
ORD-1164,CUST-0164,San Fernando,Luzon,SKU-SSD-012,External SSD,3,30292,Bronze,2026-07-04,2026-07-08
ORD-1165,CUST-0165,Zamboanga City,Mindanao,SKU-TABLET-003,Tablet Air,1,21024,Gold,2026-07-01,2026-07-04
ORD-1166,CUST-0166,General Santos,Mindanao,SKU-SPEAKER-011,Bluetooth Speaker,2,15147,Platinum,2026-07-03,2026-07-07
ORD-1167,CUST-0167,Bacolod City,Visayas,SKU-PRINTER-009,Office Printer,1,16578,Platinum,2026-07-06,2026-07-11
ORD-1168,CUST-0168,Clark,Luzon,SKU-MOUSE-008,Gaming Mouse,2,7393,Gold,2026-07-05,2026-07-10
ORD-1169,CUST-0169,Manila,Metro Manila,SKU-MONITOR-005,27-inch Monitor,1,13968,Silver,2026-07-04,2026-07-07
ORD-1170,CUST-0170,Tagaytay,Luzon,SKU-PHONE-002,Smartphone X,1,28468,Gold,2026-07-03,2026-07-05
ORD-1171,CUST-0171,Baguio City,Luzon,SKU-PHONE-002,Smartphone X,4,119947,Bronze,2026-07-06,2026-07-10
ORD-1172,CUST-0172,Baguio City,Luzon,SKU-LAPTOP-001,Laptop Pro 14,1,47939,Silver,2026-07-05,2026-07-10
ORD-1173,CUST-0173,Quezon City,Metro Manila,SKU-CAMERA-006,Action Camera,4,150990,Gold,2026-07-04,2026-07-08
ORD-1174,CUST-0174,Davao City,Mindanao,SKU-MOUSE-008,Gaming Mouse,2,6654,Bronze,2026-07-06,2026-07-08
ORD-1175,CUST-0175,Pasig City,Metro Manila,SKU-LAPTOP-001,Laptop Pro 14,1,47397,Gold,2026-07-05,2026-07-06
ORD-1176,CUST-0176,Davao City,Mindanao,SKU-PHONE-002,Smartphone X,1,29645,Silver,2026-07-06,2026-07-07
ORD-1177,CUST-0177,Batangas City,Luzon,SKU-ROUTER-010,WiFi Router,1,8396,Gold,2026-07-02,2026-07-05
ORD-1178,CUST-0178,Quezon City,Metro Manila,SKU-ROUTER-010,WiFi Router,1,8169,Silver,2026-07-01,2026-07-04
ORD-1179,CUST-0179,General Santos,Mindanao,SKU-PHONE-002,Smartphone X,4,113245,Silver,2026-06-29,2026-07-01
ORD-1180,CUST-0180,Zamboanga City,Mindanao,SKU-CAMERA-006,Action Camera,1,40766,Bronze,2026-06-30,2026-07-02
ORD-1181,CUST-0181,Taguig City,Metro Manila,SKU-ROUTER-010,WiFi Router,2,16898,Silver,2026-06-29,2026-07-01
ORD-1182,CUST-0182,Cebu City,Visayas,SKU-SPEAKER-011,Bluetooth Speaker,1,6899,Gold,2026-07-01,2026-07-05
ORD-1183,CUST-0183,Clark,Luzon,SKU-LAPTOP-001,Laptop Pro 14,1,47569,Bronze,2026-07-02,2026-07-06
ORD-1184,CUST-0184,Davao City,Mindanao,SKU-PRINTER-009,Office Printer,1,17814,Gold,2026-07-06,2026-07-08
ORD-1185,CUST-0185,Iloilo City,Visayas,SKU-MONITOR-005,27-inch Monitor,1,15281,Gold,2026-07-04,2026-07-06
ORD-1186,CUST-0186,Baguio City,Luzon,SKU-KEYBOARD-007,Mechanical Keyboard,2,12081,Platinum,2026-07-05,2026-07-07
ORD-1187,CUST-0187,Batangas City,Luzon,SKU-CAMERA-006,Action Camera,4,149800,Silver,2026-06-30,2026-07-03
ORD-1188,CUST-0188,Cebu City,Visayas,SKU-PRINTER-009,Office Printer,1,16827,Bronze,2026-07-04,2026-07-07
ORD-1189,CUST-0189,Baguio City,Luzon,SKU-TABLET-003,Tablet Air,2,47014,Silver,2026-06-29,2026-07-02
ORD-1190,CUST-0190,Baguio City,Luzon,SKU-MONITOR-005,27-inch Monitor,2,29953,Gold,2026-06-29,2026-06-30
ORD-1191,CUST-0191,General Santos,Mindanao,SKU-PRINTER-009,Office Printer,3,52478,Gold,2026-06-29,2026-06-30
ORD-1192,CUST-0192,Clark,Luzon,SKU-LAPTOP-001,Laptop Pro 14,1,51524,Bronze,2026-07-04,2026-07-06
ORD-1193,CUST-0193,Makati City,Metro Manila,SKU-ROUTER-010,WiFi Router,1,8918,Silver,2026-07-04,2026-07-06
ORD-1194,CUST-0194,Manila,Metro Manila,SKU-PRINTER-009,Office Printer,1,16400,Silver,2026-07-03,2026-07-05
ORD-1195,CUST-0195,Cebu City,Visayas,SKU-MOUSE-008,Gaming Mouse,1,3443,Platinum,2026-06-30,2026-07-02
ORD-1196,CUST-0196,Clark,Luzon,SKU-HEADSET-004,Wireless Headset,5,21772,Silver,2026-07-06,2026-07-08
ORD-1197,CUST-0197,Pasig City,Metro Manila,SKU-MOUSE-008,Gaming Mouse,1,3765,Gold,2026-06-30,2026-07-04
ORD-1198,CUST-0198,Cagayan de Oro,Mindanao,SKU-SPEAKER-011,Bluetooth Speaker,1,7636,Bronze,2026-07-03,2026-07-07
ORD-1199,CUST-0199,Cebu City,Visayas,SKU-CAMERA-006,Action Camera,1,38250,Bronze,2026-07-02,2026-07-06
ORD-1200,CUST-0200,Batangas City,Luzon,SKU-LAPTOP-001,Laptop Pro 14,1,49042,Silver,2026-07-06,2026-07-10
